week,user_id,total_peaks,total_steps,total_duration_sec,num_cycles,IPI_left_mean_sec,IPI_left_std_sec,cadence_left_steps_min,gait_index_left_pct,left_peaks,IPI_right_mean_sec,IPI_right_std_sec,cadence_right_steps_min,gait_index_right_pct,right_peaks,GSI_pct,symmetry_ratio,GA_signed_pct,cadence_total_steps_min,composite_score,composite_score_norm,GSI_pct_norm,symmetry_ratio_norm,cadence_total_steps_min_norm,gait_index_left_pct_norm,gait_index_right_pct_norm,total_duration_sec_norm,total_peaks_norm,composite_score_overall,perf_change_pct_STS,perf_change_pct_TUG,perf_change_pct_W,perf_change_pct_overall,percentile_rank_absolute,percentile_rank_improvement
1,6.5,169.5,0.0,97.61678525,0.0,1.1677907008351995,0.23806241759766,52.38459736923642,20.26157386279601,127.25,1.1792861765994702,0.1925981389302707,52.340861288395935,16.266215136412807,127.16666666666667,2.063177969391178,0.9802920037182398,-0.7750784127224128,104.76919473847282,64.5748775131765,0.6498916507515079,0.1091649435649739,0.5880043730197396,0.5771581239515465,0.1654668996120651,0.18618562848777195,0.660750839804651,0.681434599156118,62.854635598124354,0.0,0.0,0.0,0.0,54.166666666666664,54.166666666666664
2,6.5,169.16666666666666,0.0,98.93408987428883,0.0,1.1764114709664273,0.23218648724501378,52.55165445479725,19.797981114632673,127.75,1.188502646569453,0.18786320385822705,51.949103773681124,15.884517283532128,127.08333333333333,2.051309619014096,0.9770552746636739,-0.8090647492487704,105.75332685477952,65.04574275349573,0.6550065830317172,0.10853669939658517,0.5804912788920448,0.5965498162087528,0.15728399685584898,0.17570642213807508,0.6712455897329083,0.6800281293952181,62.947663722513276,4.595913349214951,-1.071477663798388,0.6069570636499465,0.11087526506772298,54.166666666666664,54.166666666666664
3,6.5,168.5,0.0,96.86958721306,0.0,1.1657564073554734,0.24083727887522363,52.81222977050255,20.609019037551956,126.5,1.181712380987305,0.1938275549658071,51.95115701204747,16.33212127189961,126.58333333333333,2.104492755674202,0.984309999798909,-0.8047349428157063,104.83793561300132,64.51082459081972,0.6491958543066858,0.11135191755258529,0.5973309438416604,0.578512618802655,0.1715996747458615,0.18799502822178926,0.6547980355709274,0.6772151898734178,62.620014346163295,-1.0576670548665985,-1.1263957481427358,-0.702078219538724,-0.3812593819612906,54.166666666666664,54.166666666666664
4,6.5,169.91666666666666,0.0,96.63212798018783,0.0,1.1513554355647957,0.22385224322104488,53.29331014698703,19.501609575259312,127.0,1.173127974512613,0.20237497504326982,52.43074409758227,17.067502049693584,126.33333333333333,2.046514998023876,0.9927929110994835,-0.8176180857303753,104.81216886987163,65.137127327871,0.6559992787530416,0.10828289894571912,0.6170214740045732,0.5780049016527293,0.1520527254522078,0.20818431369443402,0.6529062368015316,0.6831926863572434,63.07910549267868,1.086595926339087,-2.188927239862736,-0.23050031567493048,0.3686335828673335,54.166666666666664,54.166666666666664
5,6.5,168.08333333333334,0.0,97.10836487759069,0.0,1.1628024138475377,0.2232936643978364,52.376925242120926,18.952276030566424,127.5,1.1722574632777414,0.19101855616844587,52.439868126620446,16.090406107556163,125.83333333333333,2.057311334688641,0.9802864486589399,-0.8117108032063586,104.7003543168813,65.5787489685736,0.6607965425819396,0.10885439669680487,0.5879914786184163,0.5758016675893978,0.14235640687354517,0.1813589335571497,0.6567003380691486,0.6754571026722925,63.095611130358655,-0.20499498536666363,-0.1075157741276447,1.7050758161670483,0.50218639671299,54.166666666666664,54.166666666666664
6,6.5,168.16666666666666,0.0,96.77639408291928,0.0,1.1623896073918953,0.22755803970039343,53.13219702121975,19.353241409964305,124.91666666666667,1.1737347428814073,0.20213214837921314,52.50868961326268,17.083598630798598,124.16666666666667,2.0596380485911254,0.9823360074146382,-0.7850379261515337,104.29505841379425,64.44497335730405,0.6484805231011533,0.10897755993300044,0.5927489135449143,0.5678155717232597,0.14943387027481944,0.2086262323315211,0.654055581185036,0.6758087201125176,63.146246825507404,-0.3881309788561018,1.513778871131791,0.22337984382308185,0.44929119527069844,54.166666666666664,54.166666666666664
7,6.5,168.16666666666666,0.0,97.16058990265645,0.0,1.1654135064037503,0.22609152152337061,52.28671978702204,19.385237989219902,125.25,1.1634743563831236,0.19590901598277363,52.230645706060606,16.689241107123014,126.08333333333333,2.0782888891306643,0.9848565036356894,-0.7840282585109861,105.38453358169794,64.98270374024456,0.6543218005160822,0.10996483124133155,0.5985994883190201,0.5892829812588228,0.14999864376969707,0.19779946494217518,0.6571164062799151,0.6758087201125176,62.98233679620023,-0.623551544139343,-3.565925841203344,-0.21289860609652056,0.26394548904532883,54.166666666666664,54.166666666666664
8,6.5,166.91666666666666,0.0,98.04526303200903,0.0,1.1814448131278985,0.23550029268860925,52.19245208228418,19.647156538088897,125.5,1.1771684289388817,0.1977348202993264,52.048002189646944,16.847828327414586,126.5,2.0324287341998715,0.9880009907808963,-0.8046424460473166,105.69014032673785,64.95479137130489,0.6540185930064136,0.10753725082945648,0.6058984705652909,0.5953047661933303,0.15462178341960608,0.20215334902435703,0.6641644520315318,0.6705344585091421,62.89365444302923,4.218760003207843,-2.3668958880659416,1.1944801833205103,0.30181964728609784,54.166666666666664,54.166666666666664
9,6.5,168.16666666666666,0.0,96.27592478209993,0.0,1.154452964532629,0.23576395032537242,52.91629033608535,19.99148845771526,125.66666666666667,1.1557120621575558,0.1911511392998586,52.58529088094235,16.36192928828118,126.0,2.0641332972971953,0.9916425731766711,-0.8430330450118914,104.70883680671471,65.45215589458884,0.6594213826739018,0.1092155132875373,0.6143513100992704,0.5759688096119971,0.16069960630472815,0.188813383243124,0.6500684243330631,0.6758087201125176,63.46404464221863,8.362630176285649,-1.7385836140174193,0.891862288333562,1.1654112216291583,54.166666666666664,54.166666666666664
10,6.5,168.33333333333334,0.0,96.45580462996203,0.0,1.1627071583710713,0.22181067621825315,52.65188753846608,19.20531964290203,125.66666666666667,1.1680294366134474,0.19193348064042992,52.494690309303216,16.1386633873723,124.5,2.080446951310508,1.0003771994588166,-0.8357901326543126,106.35303500485735,66.76820689776532,0.6737174299973051,0.11007906699747545,0.6346261209721255,0.6083666807310596,0.14682289449878816,0.18268379820926092,0.6515014975840319,0.6765119549929676,63.6386255645557,6.048688393353703,-2.5195174194063634,3.3324219782551334,1.493254125496467,54.166666666666664,54.166666666666664
